property_type,sector,price,areaWithType,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_category,floorNum_cat
0.0,72.0,1.8,1899.0,4,5,4.0,3.0,2400.0,2200.0,2000.0,0,1,0,0.0,2.0
0.0,59.0,4.85,555.0,4,5,3.0,3.0,1827.75,1650.0,2864.0,1,1,1,1.0,0.0
0.0,81.0,1.79,1705.0,3,3,3.0,1.0,2025.0,1600.0,1548.0,0,1,1,1.0,1.0
0.0,102.0,1.13,1671.0,3,5,3.0,3.0,1997.0,1790.0,1500.0,0,1,0,1.0,2.0
0.0,86.0,2.29,1744.0,3,4,4.0,3.0,2100.0,1650.0,1294.0,0,1,2,2.0,0.0
0.0,103.0,0.26,587.0,1,1,1.0,1.0,1827.75,1650.0,394.0,0,0,0,1.0,2.0
0.0,101.0,0.29,2183.0,2,2,2.0,3.0,560.0,1650.0,1294.0,0,0,0,1.0,0.0
1.0,3.0,1.85,372.0,4,3,2.0,3.0,1827.75,1650.0,1156.0,0,0,0,1.0,1.0
0.0,23.0,0.95,414.0,2,2,3.0,2.0,1827.75,1650.0,1416.0,0,0,1,2.0,2.0
0.0,12.0,1.5,514.0,3,3,1.0,1.0,1827.75,1650.0,2267.0,0,1,0,1.0,2.0
0.0,14.0,4.0,229.0,4,4,3.0,1.0,1827.75,3350.0,1294.0,0,0,0,2.0,0.0
0.0,103.0,0.45,687.0,2,2,2.0,3.0,1827.75,1650.0,710.0,0,0,2,1.0,2.0
0.0,88.0,0.62,292.0,1,1,0.0,3.0,1827.75,650.0,1294.0,0,0,0,1.0,2.0
0.0,97.0,1.15,1601.0,3,3,4.0,3.0,1930.0,1650.0,1294.0,0,1,0,2.0,2.0
0.0,89.0,1.4,1414.0,3,3,2.0,3.0,1735.0,1650.0,1294.0,0,0,1,2.0,2.0
1.0,58.0,3.15,789.0,5,4,4.0,0.0,1827.75,1548.0,1294.0,0,0,1,2.0,1.0
0.0,76.0,0.98,1324.0,3,3,3.0,0.0,1620.0,1650.0,1294.0,1,0,0,2.0,1.0
