,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_cat,floorNum_cat
196,flat,sector 95,0.27,2,2,0,,1000.0,,550.0,0,0,unfurnished,low,low
197,flat,sector 86,0.42,2,2,1,New Property,,,501.0,1,1,unfurnished,medium,low
198,flat,sector 99,0.26,2,2,1,Relatively New,,,550.0,0,0,unfurnished,medium,medium
199,flat,sector 95,0.4,3,2,2,,,,685.0,0,0,unfurnished,low,medium
200,flat,sector 56,2.05,4,4,3,Relatively New,2150.0,2000.0,1950.0,0,1,semi_furnished,low,medium
201,flat,sector 92,0.87,4,4,2,Moderately Old,1750.0,,,0,0,furnished,medium,low
202,flat,sector 86,1.65,3,4,3,Relatively New,1895.0,,,0,1,unfurnished,medium,medium
203,house,sector 12,0.42,3,3,0,New Property,,,510.0,0,0,unfurnished,low,low
204,flat,sector 65,2.75,4,4,3,Relatively New,1975.0,1750.0,1650.0,1,1,semi_furnished,medium,low
205,flat,sector 9,0.88,3,3,2,Old Property,1800.0,,1123.0,0,0,semi_furnished,low,low
206,flat,sector 91,1.4,3,3,3+,Relatively New,1890.0,1700.0,1600.0,0,0,unfurnished,medium,medium
207,flat,sector 65,5.9,3,3,3,Moderately Old,3363.0,,,1,0,furnished,low,medium
208,flat,sector 81,0.82,2,2,3,,,955.0,565.0,0,0,unfurnished,medium,low
209,flat,sector 81,3.3,4,5,3+,Relatively New,3470.0,,2700.0,1,1,semi_furnished,high,medium
210,flat,sector 92,0.5,3,3,1,New Property,,,640.0,0,0,furnished,medium,high
211,flat,sector 69,1.8,4,5,3+,Relatively New,2400.0,2200.0,2000.0,0,1,unfurnished,high,medium
212,flat,sector 58,4.85,4,5,3,Relatively New,,,2864.0,1,1,semi_furnished,low,high
213,flat,sector 77,1.79,3,3,3,New Property,2025.0,1600.0,1548.0,0,1,semi_furnished,low,low
214,flat,sector 99,1.13,3,5,3,Relatively New,1997.0,1790.0,1500.0,0,1,unfurnished,low,medium
215,flat,sector 81,2.29,3,4,3+,Relatively New,2100.0,,,0,1,furnished,medium,high
216,flat,sohna road,0.26,1,1,1,New Property,,,394.0,0,0,unfurnished,low,medium
217,flat,sector 95,0.29,2,2,2,Relatively New,560.0,,,0,0,unfurnished,low,high
218,house,sector 1,1.85,4,3,2,,,,1156.0,0,0,unfurnished,low,low
219,flat,sector 2,0.95,2,2,3,Old Property,,,1416.0,0,0,semi_furnished,medium,medium
220,flat,sector 109,1.5,3,3,1,New Property,,,2267.0,0,1,unfurnished,low,medium
221,flat,sector 110,4.0,4,4,3,New Property,,3350.0,,0,0,unfurnished,medium,high
222,flat,sohna road,0.45,2,2,2,Relatively New,,,710.0,0,0,furnished,low,medium
223,flat,sector 82a,0.62,1,1,0,,,650.0,,0,0,unfurnished,low,medium
224,flat,sector 90,1.15,3,3,3+,Relatively New,1930.0,,,0,1,unfurnished,medium,medium
225,flat,sector 83,1.4,3,3,2,Relatively New,1735.0,,,0,0,semi_furnished,medium,medium
226,house,sector 57,3.15,5,4,3+,Moderately Old,,1548.0,,0,0,semi_furnished,medium,low
227,flat,sector 71,0.98,3,3,3,Moderately Old,1620.0,,,1,0,unfurnished,medium,low
228,flat,sector 102,1.75,3,3,3+,Relatively New,1852.0,,1128.0,0,0,unfurnished,low,low
229,flat,sector 65,5.0,3,3,3,Relatively New,3246.0,3245.0,3000.0,0,1,semi_furnished,high,low
230,flat,sector 65,2.55,3,3,3,Relatively New,1650.0,,1300.0,1,1,unfurnished,low,low
231,flat,sector 33,1.65,3,3,3,Under Construction,,,1996.0,0,1,unfurnished,low,low
232,flat,sector 106,2.1,4,6,3+,Relatively New,2355.0,,,0,1,unfurnished,medium,medium
233,flat,sector 9,0.95,3,3,2,Moderately Old,1550.0,,,0,0,unfurnished,low,medium
234,flat,sector 109,2.2,3,4,3,Relatively New,2095.0,1860.0,,0,1,unfurnished,high,high
235,flat,sector 48,1.38,3,3,1,Relatively New,,,1450.0,0,0,unfurnished,medium,low
236,house,sector 25,15.0,5,5,3,Moderately Old,,6400.0,,1,1,semi_furnished,medium,low
237,flat,sector 105,0.42,3,2,1,Moderately Old,,,750.0,0,0,unfurnished,low,low
238,flat,sector 61,2.55,3,3,2,New Property,,,1630.0,0,0,unfurnished,low,medium
239,flat,sector 109,2.3,3,4,3+,New Property,2585.0,,,0,1,unfurnished,medium,medium
240,flat,sector 65,3.2,4,3,2,Relatively New,,3150.0,1750.0,0,1,unfurnished,low,low
241,house,sector 49,3.75,2,6,3,Moderately Old,,1467.0,,0,0,unfurnished,low,low
242,flat,sector 113,2.75,4,4,3+,Under Construction,,,2597.0,1,1,furnished,medium,high
243,flat,sector 33,2.0,3,3,3+,New Property,1789.0,,,0,0,unfurnished,low,medium
244,flat,sector 82a,1.85,3,3,3,Moderately Old,1818.0,,1538.0,0,0,unfurnished,low,high
245,flat,dwarka expressway,1.3,3,3,2,Under Construction,1400.0,,,0,0,unfurnished,low,low
246,flat,sector 90,1.23,3,3,2,Relatively New,1744.0,,,0,0,unfurnished,low,high
247,flat,sector 65,2.65,2,2,3,New Property,1433.0,,,1,0,unfurnished,low,medium
248,house,sector 9,1.65,2,3,0,,,900.0,,0,0,unfurnished,low,low
249,flat,sector 43,3.8,3,3,3+,Moderately Old,,2450.0,,0,1,semi_furnished,medium,low
250,flat,sector 65,2.85,4,4,3+,Relatively New,1975.0,,,1,1,semi_furnished,high,low
251,flat,sector 63,7.8,4,4,0,,,3950.0,,0,0,unfurnished,medium,medium
252,flat,sector 2,1.5,3,4,3+,Moderately Old,1920.0,,,0,1,unfurnished,medium,medium
253,house,sector 76,1.75,4,4,0,,,,2800.0,0,0,unfurnished,low,high
254,flat,sector 61,2.17,3,3,3,Under Construction,,,1549.0,0,0,unfurnished,low,low
255,flat,sector 102,1.35,3,3,3,Relatively New,1650.0,,1022.58,0,1,unfurnished,medium,medium
256,flat,sector 106,1.05,3,4,3+,Relatively New,1760.0,1345.0,1230.0,0,1,unfurnished,high,medium
257,flat,sector 14,4.26,4,4,0,,,3250.0,,0,0,unfurnished,low,medium
258,flat,sector 95,0.41,2,2,2,New Property,,670.0,569.25,1,0,semi_furnished,medium,high
259,house,sector 57,3.65,6,6,2,Moderately Old,,3450.0,,1,1,furnished,high,low
260,flat,sector 109,1.2,3,2,2,Relatively New,1880.0,,,0,0,unfurnished,high,medium
261,flat,sector 107,0.98,2,2,3,Relatively New,1534.0,,1056.0,1,0,semi_furnished,high,medium
262,house,sector 56,7.5,8,8,3+,Relatively New,,3240.0,,1,1,furnished,low,low
263,flat,sector 70,1.65,3,4,3+,New Property,2125.0,,,1,1,unfurnished,medium,high
264,house,sector 48,5.5,3,6,2,Moderately Old,,2592.0,,0,1,semi_furnished,medium,low
265,flat,sector 69,1.38,3,3,1,Relatively New,1538.0,,,0,0,unfurnished,high,high
266,house,sector 69,0.8,1,1,0,,,763.0,,0,0,unfurnished,low,low
267,flat,sector 89,0.9,2,2,2,New Property,1103.0,,,1,0,unfurnished,medium,low
268,flat,sector 52,1.85,3,3,3,Moderately Old,2350.0,,,0,1,unfurnished,low,medium
269,flat,sector 78,0.75,2,2,1,,,1239.0,1100.0,0,0,unfurnished,low,medium
270,flat,sector 99,1.3,3,3,0,,,1997.0,,0,0,unfurnished,low,high
271,flat,sohna road,0.54,2,1,3,New Property,,,745.0,0,0,unfurnished,medium,low
272,flat,sector 37d,0.55,2,2,3,New Property,850.0,610.0,600.0,0,0,unfurnished,medium,low
273,flat,sector 65,2.0,2,2,2,,,1433.0,1000.0,0,0,unfurnished,low,high
274,flat,sector 99,1.32,3,5,3,New Property,1997.0,,1500.0,0,1,unfurnished,medium,high
